"","foldNumber","CVtrain.R2","train.inter","train.slope","N.train","corre.train","rmse.train","mae.train","CVtest.R2","test.inter","test.slope","N.test","corre.test","rmse.test","mae.test"
"1",1,0.739318935161796,-6000.4056929844,1.03293710656607,617760,0.896832258566625,140216.788493864,37794.422924027,0.83360806096861,-6212.29529749964,1.03935985623834,68640,0.905757339853153,132771.655470561,37033.6797811724
"2",2,0.74489497799511,-5943.21793911386,1.03296495489869,617760,0.898728345672908,138647.010905346,37584.9150583004,0.827441749944493,-5985.43483105396,1.03494088153424,68640,0.901575341582725,136029.635725414,37370.0872367945
"3",3,0.745943324274043,-5783.61139547215,1.03224019565742,617760,0.898948050533429,138389.335673167,37618.3333355756,0.795244673866454,-7333.34242404216,1.04099538146253,68640,0.887529101565331,147820.496703965,38866.9179168944
"4",4,0.737880288165132,-5575.55373408562,1.03153316779292,617760,0.896075871432078,140358.299601245,37867.5179080902,0.824864517269203,-5600.34862056405,1.02723932309815,68640,0.89986908451466,137841.699549308,37573.5103476872
"5",5,0.744744458809392,-5776.55305970659,1.03234240927151,617760,0.898559036473858,138671.976734574,37562.9807113145,0.811575304796017,-5957.55547165556,1.03203452422915,68640,0.893933332068256,141802.660283657,37774.3593139502
"6",6,0.741870417661585,-5841.44408105677,1.03249778575346,617760,0.897612034038077,139382.644215872,37586.7878526297,0.82927613340453,-6198.94322616613,1.03524051602465,68640,0.903164596869399,135531.561873623,37383.4365294526
"7",7,0.745436900319411,-5883.34277369982,1.03306163438293,617760,0.898931067272181,138325.932288533,37622.2187162247,0.81183102504922,-5884.5540389983,1.03051613492983,68640,0.894060285073534,142923.873474697,38049.6027332063
"8",8,0.738144054623667,-6271.18342964481,1.03487487824678,617760,0.8968091320549,140454.054043232,37786.9987254987,0.817982992739389,-5674.33937169862,1.03248216649825,68640,0.896996591185746,139447.336313086,37656.0229215832
"9",9,0.744797323158459,-5310.36984592259,1.02992168939789,617760,0.898118677421833,138353.682901778,37780.2917975541,0.809994263268955,-4471.21766272281,1.02221408285935,68640,0.89168636544968,144854.284458639,38361.1815622595
"10",10,0.744155675779963,-5552.23365958174,1.0307215408725,617760,0.89805117626935,138906.808820222,37690.9372458212,0.829018357761184,-4808.87930631922,1.0289534219538,68640,0.901620260305168,134582.721541136,37536.6906556761
